key,num,lab,king,author,year,title,journal,volume,pages,booktitle,editor,school,doi,url,pdf,abstract
"Andrieu2010","","","","C. Andrieu, A. Doucet, and R. Holenstein","2010","Particle Markov chain Monte Carlo methods","Journal of the Royal Statistical Society, Series B","72","269-342",,,,"http://dx.doi.org/10.1111/j.1467-9868.2009.00736.x",,"Andrieu2010.pdf:Andrieu2010.pdf:PDF","Markov chain Monte Carlo and sequential Monte Carlo methods have emerged as the two main tools to sample from high dimensional probability distributions. Although asymptotic convergence of Markov chain Monte Carlo algorithms is ensured under weak assumptions, the performance of these algorithms is unreliable when the proposal distributions that are used to explore the space are poorly chosen and/or if highly correlated variables are updated independently. We show here how it is possible to build efficient high dimensional proposal distributions by using sequential Monte Carlo methods. This allows us not only to improve over standard Markov chain Monte Carlo schemes but also to make Bayesian inference feasible for a large class of statistical models where this was not previously so. We demonstrate these algorithms on a non-linear state space model and a Levy-driven stochastic volatility model."
"Arulampalam2002","","","","M. S. Arulampalam, S. Maskell, N. Gordon, and T. Clapp","2002","A Tutorial on Particle Filters for Online Nonlinear, Non-Gaussian Bayesian Tracking","IEEE Transactions on Signal Processing","50","174 - 188",,,,"http://dx.doi.org/10.1109/78.978374",,"Arulampalam2002.pdf:Desktop/Arulampalam2002.pdf:PDF",
"Bhadra2010","","","","A. Bhadra","2010","Discussion of `Particle Markov chain Monte Carlo methods' by C. Andrieu, A. Doucet and R. Holenstein","Journal of the Royal Statistical Society, Series B","72","314-315",,,,"http://dx.doi.org/10.1111/j.1467-9868.2009.00736.x",,,
"Breto2011","","","","C. Bret&oacute; and E. L. Ionides","2011","Compound Markov counting processes and their applications to modeling infinitesimally over-dispersed systems","Stochastic Processes and their Applications","121","2571-2591",,,,"http://dx.doi.org/10.1016/j.spa.2011.07.005",,"Breto2011.pdf:Breto2011.pdf:PDF","We propose an infinitesimal dispersion index for Markov counting processes. We show that, under standard moment existence conditions, a process is infinitesimally (over-)equi-dispersed if, and only if, it is simple (compound), i.e. it increases in jumps of one (or more) unit(s), even though infinitesimally equi-dispersed processes might be under-, equi- or over-dispersed using previously studied indices. Compound processes arise, for example, when introducing continuous-time white noise to the rates of simple processes resulting in L{\\'e}vy-driven SDEs. We construct multivariate infinitesimally over-dispersed compartment models and queuing networks, suitable for applications where moment constraints inherent to simple processes do not hold."
"Breto2009","","","","C. Bret&oacute;, D. He, E. L. Ionides, and A. A. King","2009","Time series analysis via mechanistic models","Annals of Applied Statistics","3","319-348",,,,"http://dx.doi.org/10.1214/08-AOAS201",,"Breto2009.pdf:Breto2009.pdf:PDF;:Breto2009_supp.pdf:PDF","The purpose of time series analysis via mechanistic models is to reconcile the known or hypothesized structure of a dynamical system with observations collected over time. We develop a framework for constructing nonlinear mechanistic models and carrying out inference. Our framework permits the consideration of implicit dynamic models, meaning statistical models for stochastic dynamical systems which are specified by a simulation algorithm to generate sample paths. Inference procedures that operate on implicit models are said to have the plug-and-play property. Our work builds on recently developed plug-and-play inference methodology for partially observed Markov models. We introduce a class of implicitly specified Markov chains with stochastic transition rates, and we demonstrate its applicability to open problems in statistical inference for biological systems. As one example, these models are shown to give a fresh perspective on measles transmission dynamics. As a second example, we present a mechanistic analysis of cholera incidence data, involving interaction between two competing strains of the pathogen Vibrio cholerae."
"Ellner1998","","","","S. P. Ellner, B. A. Bailey, G. V. Bobashev, A. R. Gallant, B. T. Grenfell, and D. W. Nychka","1998","Noise and nonlinearity in measles epidemics: Combining mechanistic and statistical approaches to population modeling","American Naturalist","151","425-440",,,,,,"Ellner1998.pdf:Ellner1998.pdf:PDF","We present and evaluate an approach to analyzing population dynamics data using semimechanistic models. These models incorporate reliable information on population structure and underlying dynamic mechanisms but use nonparametric surface-fitting methods to avoid unsupported assumptions about the precise form of rate equations. Using historical data on measles epidemics as a case study, we show how this approach can lead to better forecasts, better characterizations of the dynamics, and a better understanding of the factors causing complex population dynamics relative to either mechanistic models or purely descriptive statistical time-series models. The semimechanistic models are found to have better forecasting accuracy than either of the model types used in previous analyses when tested on data not used to fit the models. The dynamics are characterized as being both nonlinear and noisy, and the global dynamics are clustered very tightly near the border of stability (dominant Lyapunov exponent lambda approximate to 0). However, locally in state space the dynamics oscillate between strong short-term stability and strong short-term chaos (i.e., between negative and positive local Lyapunov exponents). There is statistically significant evidence for short-term chaos in all data sets examined. Thus the nonlinearity in these systems is characterized by the variance over state space in local measures of chaos versus stability rather than a single summary measure of the overall dynamics as either chaotic or nonchaotic."
"Gillespie1977a","","","","D. T. Gillespie","1977","Exact Stochastic Simulation of Coupled Chemical Reactions","Journal of Physical Chemistry","81","2340-2361",,,,,,"Gillespie1977a.pdf:Gillespie1977a.pdf:PDF",
"He2010","","","","D. He, E. L. Ionides, and A. A. King","2010","Plug-and-play inference for disease dynamics: measles in large and small populations as a case study","Journal of the Royal Society Interface","7","271-283",,,,"http://dx.doi.org/10.1098/rsif.2009.0151",,"He2010.pdf:He2010.pdf:PDF;:He2010_Supplement.pdf:PDF","Statistical inference for mechanistic models of partially observed dynamic systems is an active area of research. Most existing inference methods place substantial restrictions upon the form of models that can be fitted and hence upon the nature of the scientific hypotheses that can be entertained and the data that can be used to evaluate them. In contrast, the so-called methods require only simulations from a model and are thus free of such restrictions. We show the utility of the plug-and-play approach in the context of an investigation of measles transmission dynamics. Our novel methodology enables us to ask and answer questions that previous analyses have been unable to address. Specifically, we demonstrate that plug-and-play methods permit the development of a modelling and inference framework applicable to data from both large and small populations. We thereby obtain novel insights into the nature of heterogeneity in mixing and comment on the importance of including extra-demographic stochasticity as a means of dealing with environmental stochasticity and model misspecification. Our approach is readily applicable to many other epidemiological and ecological systems."
"Ionides2011","","","","E. L. Ionides, A. Bhadra, Y. Atchad&eacute;, and A. A. King","2011","Iterated filtering","Annals of Statistics","39","1776-1802",,,,"http://dx.doi.org/10.1214/11-AOS886",,"Ionides2011.pdf:Ionides2011.pdf:PDF","Inference for partially observed Markov process models has been a longstanding methodological challenge with many scientific and engineering applications. Iterated filtering algorithms maximize the likelihood function for partially observed Markov process models by solving a recursive sequence of filtering problems. We present new theoretical results pertaining to the convergence of iterated filtering algorithms implemented via sequential Monte Carlo filters. This theory complements the growing body of empirical evidence that iterated filtering algorithms provide an effective inference strategy for scientific models of nonlinear dynamic systems. The first step in our theory involves studying a new recursive approach for maximizing the likelihood function of a latent variable model, when this likelihood is evaluated via importance sampling. This leads to the consideration of an iterated importance sampling algorithm which serves as a simple special case of iterated filtering, and may have applicability in its own right."
"Ionides2006","","","","E. L. Ionides, C. Bret&oacute;, and A. A. King","2006","Inference for nonlinear dynamical systems","Proceedings of the National Academy of Sciences of the U.S.A.","103","18438-18443",,,,"http://dx.doi.org/10.1073/pnas.0603181103",,"Ionides2006.pdf:Ionides2006.pdf:PDF","Nonlinear stochastic dynamical systems are widely used to model systems across the sciences and engineering. Such models are natural to formulate and can be analyzed mathematically and numerically. However, difficulties associated with inference from time-series data about unknown parameters in these models have been a constraint on their application. We present a new method that makes maximum likelihood estimation feasible for partially-observed nonlinear stochastic dynamical systems (also known as state-space models) where this was not previously the case. The method is based on a sequence of filtering operations which are shown to converge to a maximum likelihood parameter estimate. We make use of recent advances in nonlinear filtering in the implementation of the algorithm. We apply the method to the study of cholera in Bangladesh. We construct confidence intervals, perform residual analysis, and apply other diagnostics. Our analysis, based upon a model capturing the intrinsic nonlinear dynamics of the system, reveals some effects overlooked by previous studies."
